wmo,cycle,date,lat,lon,sst_proxy_c,mld_m,thermocline_depth_m,heat_content_0_300m,n_levels,year
4900575,192,2010-03-17,39.54800033569336,-137.29299926757812,12.223999977111816,82.80000305175781,180.10000610351562,3006.66845703125,44,2010 (Baseline)
4900575,193,2010-03-27,39.37200164794922,-137.30299377441406,12.29800033569336,75.0,83.0,3010.76708984375,44,2010 (Baseline)
4900575,194,2010-04-07,39.095001220703125,-137.3800048828125,11.583999633789062,24.200000762939453,162.89999389648438,2912.520263671875,44,2010 (Baseline)
4900575,195,2010-04-18,38.86600112915039,-137.46600341796875,11.932000160217285,16.799999237060547,45.0,2858.483642578125,44,2010 (Baseline)
4900575,196,2010-04-28,38.62900161743164,-137.49099731445312,12.14799976348877,90.5999984741211,131.0,3024.16015625,44,2010 (Baseline)
4900575,197,2010-05-09,38.391998291015625,-137.3260040283203,13.414999961853027,24.200000762939453,24.200000762939453,3012.247314453125,44,2010 (Baseline)
4900575,198,2010-05-19,38.2599983215332,-137.2010040283203,13.107999801635742,37.900001525878906,44.79999923706055,2951.040283203125,44,2010 (Baseline)
4900575,199,2010-05-30,38.207000732421875,-136.8990020751953,13.600000381469727,23.899999618530273,45.29999923706055,2976.117431640625,44,2010 (Baseline)
4900575,200,2010-06-09,38.207,-136.694,14.005999565124512,45.0,51.900001525878906,3033.702392578125,44,2010 (Baseline)
4900575,201,2010-06-20,38.266,-136.558,15.055999755859375,23.399999618530273,51.79999923706055,3017.524169921875,44,2010 (Baseline)
4900575,202,2010-07-01,38.36,-136.555,17.11400032043457,16.700000762939453,23.799999237060547,3134.87646484375,44,2010 (Baseline)
4900575,203,2010-07-11,38.424,-136.526,16.729999542236328,23.799999237060547,51.900001525878906,3081.680908203125,44,2010 (Baseline)
4900575,204,2010-07-22,38.62,-136.668,16.827999114990234,31.100000381469727,37.599998474121094,3183.274169921875,44,2010 (Baseline)
4900575,205,2010-08-01,38.821,-136.814,17.533000946044922,23.899999618530273,38.0,3114.357666015625,44,2010 (Baseline)
4900575,206,2010-08-12,39.009,-137.012,18.393999099731445,24.0,44.79999923706055,3188.192626953125,44,2010 (Baseline)
4900575,207,2010-08-23,39.162,-137.22,19.091999053955078,23.899999618530273,44.70000076293945,3268.661376953125,44,2010 (Baseline)
4900575,208,2010-09-02,39.261,-137.361,19.385000228881836,31.299999237060547,38.099998474121094,3242.70849609375,44,2010 (Baseline)
4900575,209,2010-09-13,39.358,-137.439,19.881999969482422,24.100000381469727,37.900001525878906,3268.68115234375,44,2010 (Baseline)
4900575,210,2010-09-23,39.407,-137.491,19.594999313354492,31.0,38.20000076293945,3314.17822265625,44,2010 (Baseline)
4900575,211,2010-10-04,39.469,-137.552,19.4689998626709,45.29999923706055,45.29999923706055,3381.496826171875,44,2010 (Baseline)
4900575,212,2010-10-14,39.443,-137.594,18.7549991607666,51.70000076293945,51.70000076293945,3335.590087890625,44,2010 (Baseline)
4900575,213,2010-10-25,39.35,-137.434,17.524999618530273,59.29999923706055,59.29999923706055,3314.07861328125,44,2010 (Baseline)
4900575,214,2010-11-05,39.206,-137.346,16.274999618530273,67.4000015258789,67.4000015258789,3201.71142578125,44,2010 (Baseline)
4900575,215,2010-11-15,39.07,-137.267,15.864999771118164,30.600000381469727,75.0,3197.727294921875,44,2010 (Baseline)
4900575,216,2010-11-26,38.922,-137.043,14.92199993133545,67.0,67.0,3089.4052734375,44,2010 (Baseline)
4900575,217,2010-12-06,38.804,-136.832,14.234000205993652,75.5999984741211,83.5,3052.61181640625,44,2010 (Baseline)
4900575,218,2010-12-17,38.758,-136.607,14.07699966430664,83.69999694824219,83.69999694824219,3181.581787109375,44,2010 (Baseline)
4900575,219,2010-12-28,38.722,-136.467,13.894000053405762,91.30000305175781,91.30000305175781,3125.484375,44,2010 (Baseline)
4900623,145,2010-01-06,44.1310005187988,-128.365005493164,10.74899959564209,75.4000015258789,83.4000015258789,2431.463134765625,44,2010 (Baseline)
4900623,146,2010-01-16,44.2779998779297,-128.432998657227,10.539999961853027,59.70000076293945,67.19999694824219,2325.805908203125,44,2010 (Baseline)
4900623,147,2010-01-27,44.443000793457,-128.541000366211,10.031999588012695,75.30000305175781,75.30000305175781,2360.950927734375,44,2010 (Baseline)
4900623,148,2010-02-07,44.5530014038086,-128.805999755859,10.15999984741211,67.30000305175781,75.5,2374.489990234375,44,2010 (Baseline)
4900623,149,2010-02-17,44.5880012512207,-128.983001708984,9.979000091552734,75.5,75.5,2331.292236328125,44,2010 (Baseline)
4900623,150,2010-02-28,44.6699981689453,-129.259994506836,9.973999977111816,75.5999984741211,75.5999984741211,2350.8603515625,44,2010 (Baseline)
4900623,151,2010-03-11,44.726001739502,-129.328002929688,9.82800006866455,75.5999984741211,75.5999984741211,2278.13037109375,44,2010 (Baseline)
4900623,152,2010-03-21,44.7330017089844,-129.304000854492,9.58899974822998,99.5,99.5,2301.136962890625,43,2010 (Baseline)
4900623,153,2010-04-01,44.6069984436035,-129.307998657227,9.795999526977539,91.5999984741211,91.5999984741211,2306.20947265625,44,2010 (Baseline)
4900623,154,2010-04-11,44.515998840332,-129.361999511719,9.397000312805176,67.30000305175781,75.5999984741211,2246.879150390625,44,2010 (Baseline)
4900623,155,2010-04-22,44.4459991455078,-129.54899597168,9.803999900817871,59.400001525878906,99.30000305175781,2306.40087890625,44,2010 (Baseline)
4900623,156,2010-05-03,44.3849983215332,-129.537002563477,10.032999992370605,45.0,83.4000015258789,2246.09716796875,44,2010 (Baseline)
4900623,157,2010-05-13,44.3209991455078,-129.251998901367,10.736000061035156,17.299999237060547,83.5,2298.63427734375,44,2010 (Baseline)
4900623,158,2010-05-24,44.2280006408691,-129.059005737305,10.5600004196167,67.69999694824219,83.4000015258789,2345.385986328125,44,2010 (Baseline)
